,dataset,transformer,model,conf_mat,f1_score,accuracy,res_naive,res_model_wo_fees,res_model_with_fees
76,data_for_use_w_vol,StandardScaler,RandomForest_18,"[[ 32 141]
 [ 32 131]]",0.6022988505747127,0.4851190476190476,1.0869439154370648,1.0567190397095276,0.9149011560333192
77,data_for_use_w_vol,StandardScaler,RandomForest_19,"[[ 27 146]
 [ 33 130]]",0.5922551252847379,0.4672619047619048,1.0869439154370648,0.7573773244139331,0.6577044856106676
78,data_for_use_w_vol,StandardScaler,RandomForest_20,"[[ 27 146]
 [ 32 131]]",0.5954545454545455,0.4702380952380952,1.0869439154370648,0.845648871345634,0.7454660797381548
79,data_for_use_w_vol,MinMaxScaler,KNeighbors_1,"[[ 73 100]
 [ 66  97]]",0.5388888888888889,0.5059523809523809,1.0869439154370648,1.06611685383606,0.8473432957450198
80,data_for_use_w_vol,MinMaxScaler,KNeighbors_2,"[[109  64]
 [111  52]]",0.3727598566308244,0.4791666666666667,1.0869439154370648,0.8611439331680163,0.682380288801035
81,data_for_use_w_vol,MinMaxScaler,KNeighbors_3,"[[ 64 109]
 [ 58 105]]",0.5570291777188329,0.5029761904761905,1.0869439154370648,1.224517526779303,0.9616214627639884
82,data_for_use_w_vol,MinMaxScaler,KNeighbors_4,"[[88 85]
 [87 76]]",0.4691358024691358,0.4880952380952381,1.0869439154370648,1.1051904713055187,0.8601311763307171
83,data_for_use_w_vol,MinMaxScaler,KNeighbors_5,"[[ 49 124]
 [ 53 110]]",0.5541561712846347,0.4732142857142857,1.0869439154370648,0.7841676845135915,0.6461150671864684
84,data_for_use_w_vol,MinMaxScaler,KNeighbors_6,"[[ 73 100]
 [ 78  85]]",0.4885057471264368,0.4702380952380952,1.0869439154370648,0.780262739059938,0.6238830401218242
85,data_for_use_w_vol,MinMaxScaler,KNeighbors_7,"[[ 41 132]
 [ 51 112]]",0.5503685503685504,0.4553571428571429,1.0869439154370648,0.6986878589732792,0.5887936074352278
86,data_for_use_w_vol,MinMaxScaler,KNeighbors_8,"[[ 64 109]
 [ 74  89]]",0.4930747922437673,0.4553571428571429,1.0869439154370648,0.6622603159342184,0.5335199917965735
87,data_for_use_w_vol,MinMaxScaler,KNeighbors_9,"[[ 44 129]
 [ 43 120]]",0.5825242718446602,0.4880952380952381,1.0869439154370648,0.9762376557972798,0.832627769687098
88,data_for_use_w_vol,MinMaxScaler,KNeighbors_10,"[[ 62 111]
 [ 61 102]]",0.5425531914893618,0.4880952380952381,1.0869439154370648,0.7883442083841279,0.6408397346601504
89,data_for_use_w_vol,MinMaxScaler,KNeighbors_11,"[[ 38 135]
 [ 40 123]]",0.5843230403800475,0.4791666666666667,1.0869439154370648,0.9997839348969659,0.8656070757201545
90,data_for_use_w_vol,MinMaxScaler,KNeighbors_12,"[[ 57 116]
 [ 54 109]]",0.5618556701030929,0.4940476190476191,1.0869439154370648,1.0133324021455001,0.8462919982444684
91,data_for_use_w_vol,MinMaxScaler,KNeighbors_13,"[[ 40 133]
 [ 36 127]]",0.6004728132387707,0.4970238095238095,1.0869439154370648,1.1854021936540746,1.0418367634184458
92,data_for_use_w_vol,MinMaxScaler,KNeighbors_14,"[[ 51 122]
 [ 49 114]]",0.5714285714285714,0.4910714285714286,1.0869439154370648,1.1717645364108131,0.9859804609566708
93,data_for_use_w_vol,MinMaxScaler,KNeighbors_15,"[[ 35 138]
 [ 30 133]]",0.6129032258064516,0.5,1.0869439154370648,1.4707560685738892,1.3200841965629542
94,data_for_use_w_vol,MinMaxScaler,KNeighbors_16,"[[ 50 123]
 [ 46 117]]",0.5806451612903225,0.4970238095238095,1.0869439154370648,1.1028989471021116,0.9406564939004649
95,data_for_use_w_vol,MinMaxScaler,KNeighbors_17,"[[ 34 139]
 [ 29 134]]",0.6146788990825689,0.5,1.0869439154370648,1.53179567258191,1.3790044980092098
96,data_for_use_w_vol,MinMaxScaler,KNeighbors_18,"[[ 46 127]
 [ 43 120]]",0.5853658536585366,0.4940476190476191,1.0869439154370648,1.3251462837902837,1.1302100346460795
